feature,importance
cat__off_street_name_1 AVENUE,0.0002156343540636313
cat__zip_code_10475,0.00021559398175811123
cat__on_street_name_WESTCHESTER AVENUE              ,0.00021414393991974428
cat__on_street_name_CONEY ISLAND AVENUE             ,0.00021305063345361728
cat__zip_code_11421,0.00021225335486968055
cat__on_street_name_CLEARVIEW EXPRESSWAY            ,0.00021070438220389777
cat__zip_code_11249,0.00021061719194712957
cat__on_street_name_COLLEGE POINT BOULEVARD         ,0.0002096081387475001
cat__on_street_name_BOSTON ROAD                     ,0.00020938939796130308
cat__on_street_name_UNION TURNPIKE                  ,0.0002085726602189259
